Time (min),Column1,State,Irradiance,Delta,Vin,Iin,Pin,Vm,Vout
0.5,30477,idle,3,0,5.77,0,67,5.77,5
0.5,30558,mppt,3,0,5.75,50.2,111,5.73,4.94
3.9,233278,mppt,7,0.27,4.86,914.5,4445,6.22,4.92
4.1,245039,mppt,1023,0.28,3.94,73.2,431,5.37,4.53
4.1,245158,night,1023,0.28,3.89,71.6,333,5.37,4.53
4.7,283479,night,4,0,5.85,15.9,85,5.85,5.86
4.8,286838,mppt,4,0,5.87,11.6,67,5.86,5.01
5.0,299420,mppt,7,0.02,5.71,262.5,1499,5.64,4.66
5.1,305528,mppt,7,0.04,5.69,306.1,1736,5.69,4.69
19.2,1150438,mppt,4,0.05,5.58,280,1557,5.8,4.77
19.2,1152569,done,4,0.05,5.76,18.8,111,6.03,5.14
